CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
15,BOYACA,15518,PAJARITO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,8,8,32,4,FRUTO FRESCO
15,BOYACA,15218,COVARACHIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,7,5,100,20,FRUTO FRESCO
15,BOYACA,15810,TIPACOQUE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,6,2,5,2,FRUTO FRESCO
15,BOYACA,15514,PAEZ,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,6,6,48,8,FRUTO FRESCO
15,BOYACA,15248,EL ESPINO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,5,5,35,7,FRUTO FRESCO
15,BOYACA,15753,SOATA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,4,1,2,2,FRUTO FRESCO
15,BOYACA,15236,CHIVOR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,3,0,0,0,FRUTO FRESCO
15,BOYACA,15511,PACHAVITA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,3,1,2,2,FRUTO FRESCO
15,BOYACA,15720,SATIVANORTE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,3,3,30,9.9,FRUTO FRESCO
15,BOYACA,15522,PANQUEBA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,2,1,2,1.5,FRUTO FRESCO
15,BOYACA,15533,PAYA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,2,1,5,4.5,FRUTO FRESCO
15,BOYACA,15621,RONDON,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,2,2,8,4,FRUTO FRESCO
17,CALDAS,17513,PACORA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,1890,1890,26460,14,FRUTO FRESCO
17,CALDAS,17380,LA DORADA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,1089,250,2500,10,FRUTO FRESCO
17,CALDAS,17050,ARANZAZU,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,850,300,3000,10,FRUTO FRESCO
17,CALDAS,17495,NORCASIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,711,621,7452,12,FRUTO FRESCO
17,CALDAS,17444,MARQUETALIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,671,491,3221,6.6,FRUTO FRESCO
17,CALDAS,17042,ANSERMA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,613,506,3036,6,FRUTO FRESCO
17,CALDAS,17433,MANZANARES,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,548,453,4890,10.8,FRUTO FRESCO
17,CALDAS,17001,MANIZALES,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,548,547,6021,11,FRUTO FRESCO
17,CALDAS,17174,CHINCHINA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,500,500,5000,10,FRUTO FRESCO
17,CALDAS,17867,VICTORIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,473,453,4077,9,FRUTO FRESCO
17,CALDAS,17486,NEIRA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,465,446,2676,6,FRUTO FRESCO
17,CALDAS,17873,VILLAMARIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,427,274,2740,10,FRUTO FRESCO
17,CALDAS,17616,RISARALDA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,375,365,5110,14,FRUTO FRESCO
17,CALDAS,17013,AGUADAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,260,210,1890,9,FRUTO FRESCO
17,CALDAS,17662,SAMANA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,258,213,1172,5.5,FRUTO FRESCO
17,CALDAS,17088,BELALCAZAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,245,209,2615,12.5,FRUTO FRESCO
17,CALDAS,17541,PENSILVANIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,236,75,375,5,FRUTO FRESCO
17,CALDAS,17524,PALESTINA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,213,156,1248,8,FRUTO FRESCO
17,CALDAS,17665,SAN JOSE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,194,159,3180,20,FRUTO FRESCO
17,CALDAS,17614,RIOSUCIO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,125,37,370,10,FRUTO FRESCO
17,CALDAS,17653,SALAMINA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,100,65,390,6,FRUTO FRESCO
17,CALDAS,17446,MARULANDA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,68,43,344,8,FRUTO FRESCO
